"TerminalReward","Model"
173,"optimal"
171,"optimal"
180,"optimal"
184,"optimal"
160,"optimal"
170,"optimal"
181,"optimal"
179,"optimal"
181,"optimal"
176,"optimal"
179,"optimal"
163,"optimal"
188,"optimal"
185,"optimal"
188,"optimal"
154,"optimal"
185,"optimal"
175,"optimal"
181,"optimal"
160,"optimal"
179,"optimal"
188,"optimal"
163,"optimal"
167,"optimal"
158,"optimal"
162,"optimal"
181,"optimal"
142,"optimal"
185,"optimal"
170,"optimal"
165,"optimal"
188,"optimal"
176,"optimal"
179,"optimal"
146,"optimal"
145,"optimal"
187,"optimal"
188,"optimal"
142,"optimal"
182,"optimal"
188,"optimal"
170,"optimal"
129,"optimal"
170,"optimal"
188,"optimal"
153,"optimal"
188,"optimal"
188,"optimal"
178,"optimal"
176,"optimal"
181,"optimal"
179,"optimal"
148,"optimal"
148,"optimal"
188,"optimal"
188,"optimal"
170,"optimal"
187,"optimal"
188,"optimal"
148,"optimal"
182,"optimal"
180,"optimal"
153,"optimal"
180,"optimal"
146,"optimal"
173,"optimal"
188,"optimal"
182,"optimal"
178,"optimal"
154,"optimal"
188,"optimal"
177,"optimal"
188,"optimal"
165,"optimal"
163,"optimal"
163,"optimal"
170,"optimal"
167,"optimal"
188,"optimal"
150,"optimal"
188,"optimal"
188,"optimal"
184,"optimal"
188,"optimal"
188,"optimal"
178,"optimal"
182,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
163,"optimal"
188,"optimal"
163,"optimal"
184,"optimal"
154,"optimal"
129,"optimal"
177,"optimal"
187,"optimal"
188,"optimal"
158,"optimal"
187,"optimal"
188,"optimal"
167,"optimal"
177,"optimal"
170,"optimal"
188,"optimal"
179,"optimal"
176,"optimal"
180,"optimal"
182,"optimal"
151,"optimal"
187,"optimal"
154,"optimal"
188,"optimal"
182,"optimal"
181,"optimal"
172,"optimal"
139,"optimal"
188,"optimal"
187,"optimal"
188,"optimal"
155,"optimal"
188,"optimal"
185,"optimal"
188,"optimal"
185,"optimal"
173,"optimal"
185,"optimal"
169,"optimal"
188,"optimal"
170,"optimal"
176,"optimal"
187,"optimal"
188,"optimal"
179,"optimal"
170,"optimal"
188,"optimal"
181,"optimal"
176,"optimal"
154,"optimal"
169,"optimal"
147,"optimal"
173,"optimal"
170,"optimal"
175,"optimal"
188,"optimal"
155,"optimal"
129,"optimal"
188,"optimal"
188,"optimal"
148,"optimal"
167,"optimal"
188,"optimal"
160,"optimal"
178,"optimal"
173,"optimal"
170,"optimal"
181,"optimal"
179,"optimal"
188,"optimal"
182,"optimal"
148,"optimal"
188,"optimal"
180,"optimal"
188,"optimal"
188,"optimal"
176,"optimal"
188,"optimal"
187,"optimal"
173,"optimal"
160,"optimal"
170,"optimal"
169,"optimal"
185,"optimal"
180,"optimal"
178,"optimal"
139,"optimal"
180,"optimal"
173,"optimal"
180,"optimal"
184,"optimal"
145,"optimal"
170,"optimal"
163,"optimal"
182,"optimal"
154,"optimal"
154,"optimal"
154,"optimal"
188,"optimal"
188,"optimal"
173,"optimal"
180,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
179,"optimal"
156,"optimal"
188,"optimal"
170,"optimal"
188,"optimal"
163,"optimal"
170,"optimal"
170,"optimal"
188,"optimal"
160,"optimal"
182,"optimal"
180,"optimal"
166,"optimal"
170,"optimal"
170,"optimal"
178,"optimal"
176,"optimal"
181,"optimal"
179,"optimal"
182,"optimal"
167,"optimal"
180,"optimal"
188,"optimal"
188,"optimal"
187,"optimal"
163,"optimal"
179,"optimal"
169,"optimal"
160,"optimal"
187,"optimal"
188,"optimal"
182,"optimal"
188,"optimal"
170,"optimal"
180,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
184,"optimal"
153,"optimal"
166,"optimal"
178,"optimal"
178,"optimal"
188,"optimal"
155,"optimal"
164,"optimal"
139,"optimal"
163,"optimal"
141,"optimal"
176,"optimal"
163,"optimal"
170,"optimal"
170,"optimal"
151,"optimal"
173,"optimal"
178,"optimal"
179,"optimal"
188,"optimal"
173,"optimal"
176,"optimal"
185,"optimal"
188,"optimal"
147,"optimal"
170,"optimal"
158,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
176,"optimal"
188,"optimal"
185,"optimal"
176,"optimal"
170,"optimal"
188,"optimal"
166,"optimal"
179,"optimal"
156,"optimal"
188,"optimal"
188,"optimal"
144,"optimal"
154,"optimal"
179,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
187,"optimal"
163,"optimal"
168,"optimal"
157,"optimal"
181,"optimal"
184,"optimal"
188,"optimal"
155,"optimal"
180,"optimal"
188,"optimal"
181,"optimal"
176,"optimal"
179,"optimal"
147,"optimal"
184,"optimal"
176,"optimal"
185,"optimal"
182,"optimal"
185,"optimal"
188,"optimal"
178,"optimal"
178,"optimal"
188,"optimal"
162,"optimal"
177,"optimal"
146,"optimal"
170,"optimal"
172,"optimal"
169,"optimal"
173,"optimal"
176,"optimal"
182,"optimal"
185,"optimal"
188,"optimal"
163,"optimal"
187,"optimal"
188,"optimal"
176,"optimal"
181,"optimal"
188,"optimal"
145,"optimal"
169,"optimal"
160,"optimal"
188,"optimal"
151,"optimal"
178,"optimal"
184,"optimal"
176,"optimal"
185,"optimal"
122,"optimal"
187,"optimal"
181,"optimal"
179,"optimal"
175,"optimal"
188,"optimal"
154,"optimal"
169,"optimal"
188,"optimal"
188,"optimal"
154,"optimal"
179,"optimal"
163,"optimal"
181,"optimal"
184,"optimal"
163,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
177,"optimal"
184,"optimal"
153,"optimal"
143,"optimal"
188,"optimal"
184,"optimal"
188,"optimal"
187,"optimal"
182,"optimal"
170,"optimal"
188,"optimal"
173,"optimal"
188,"optimal"
129,"optimal"
129,"optimal"
162,"optimal"
185,"optimal"
160,"optimal"
188,"optimal"
151,"optimal"
176,"optimal"
175,"optimal"
166,"optimal"
129,"optimal"
163,"optimal"
187,"optimal"
129,"optimal"
163,"optimal"
179,"optimal"
179,"optimal"
180,"optimal"
144,"optimal"
147,"optimal"
164,"optimal"
167,"optimal"
180,"optimal"
188,"optimal"
188,"optimal"
160,"optimal"
185,"optimal"
173,"optimal"
176,"optimal"
163,"optimal"
158,"optimal"
119,"optimal"
170,"optimal"
179,"optimal"
148,"optimal"
178,"optimal"
157,"optimal"
160,"optimal"
188,"optimal"
176,"optimal"
178,"optimal"
139,"optimal"
163,"optimal"
188,"optimal"
180,"optimal"
166,"optimal"
188,"optimal"
154,"optimal"
188,"optimal"
163,"optimal"
163,"optimal"
184,"optimal"
188,"optimal"
188,"optimal"
176,"optimal"
176,"optimal"
188,"optimal"
187,"optimal"
179,"optimal"
175,"optimal"
188,"optimal"
180,"optimal"
188,"optimal"
185,"optimal"
180,"optimal"
170,"optimal"
170,"optimal"
185,"optimal"
143,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
179,"optimal"
176,"optimal"
129,"optimal"
181,"optimal"
188,"optimal"
185,"optimal"
185,"optimal"
179,"optimal"
188,"optimal"
172,"optimal"
179,"optimal"
180,"optimal"
178,"optimal"
178,"optimal"
181,"optimal"
173,"optimal"
182,"optimal"
179,"optimal"
139,"optimal"
181,"optimal"
154,"optimal"
165,"optimal"
188,"optimal"
164,"optimal"
179,"optimal"
154,"optimal"
156,"optimal"
181,"optimal"
129,"optimal"
157,"optimal"
178,"optimal"
188,"optimal"
179,"optimal"
181,"optimal"
179,"optimal"
153,"optimal"
169,"optimal"
188,"optimal"
129,"optimal"
188,"optimal"
176,"optimal"
146,"optimal"
139,"optimal"
188,"optimal"
163,"optimal"
173,"optimal"
142,"optimal"
175,"optimal"
188,"optimal"
172,"optimal"
182,"optimal"
184,"optimal"
179,"optimal"
179,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
167,"optimal"
146,"optimal"
188,"optimal"
151,"optimal"
188,"optimal"
170,"optimal"
178,"optimal"
148,"optimal"
178,"optimal"
129,"optimal"
188,"optimal"
177,"optimal"
178,"optimal"
188,"optimal"
184,"optimal"
188,"optimal"
184,"optimal"
129,"optimal"
178,"optimal"
154,"optimal"
181,"optimal"
184,"optimal"
182,"optimal"
179,"optimal"
188,"optimal"
175,"optimal"
148,"optimal"
163,"optimal"
163,"optimal"
139,"optimal"
185,"optimal"
180,"optimal"
147,"optimal"
188,"optimal"
146,"optimal"
154,"optimal"
187,"optimal"
188,"optimal"
140,"optimal"
153,"optimal"
188,"optimal"
188,"optimal"
187,"optimal"
177,"optimal"
176,"optimal"
144,"optimal"
187,"optimal"
144,"optimal"
151,"optimal"
166,"optimal"
180,"optimal"
184,"optimal"
178,"optimal"
157,"optimal"
170,"optimal"
188,"optimal"
185,"optimal"
154,"optimal"
181,"optimal"
170,"optimal"
179,"optimal"
178,"optimal"
188,"optimal"
181,"optimal"
154,"optimal"
188,"optimal"
154,"optimal"
173,"optimal"
188,"optimal"
170,"optimal"
173,"optimal"
163,"optimal"
170,"optimal"
170,"optimal"
181,"optimal"
185,"optimal"
180,"optimal"
178,"optimal"
188,"optimal"
154,"optimal"
170,"optimal"
178,"optimal"
162,"optimal"
170,"optimal"
163,"optimal"
188,"optimal"
185,"optimal"
166,"optimal"
160,"optimal"
179,"optimal"
180,"optimal"
188,"optimal"
188,"optimal"
184,"optimal"
188,"optimal"
154,"optimal"
188,"optimal"
180,"optimal"
188,"optimal"
185,"optimal"
188,"optimal"
175,"optimal"
178,"optimal"
141,"optimal"
160,"optimal"
163,"optimal"
155,"optimal"
148,"optimal"
185,"optimal"
187,"optimal"
179,"optimal"
184,"optimal"
172,"optimal"
188,"optimal"
169,"optimal"
183,"optimal"
165,"optimal"
188,"optimal"
188,"optimal"
182,"optimal"
182,"optimal"
176,"optimal"
187,"optimal"
173,"optimal"
188,"optimal"
143,"optimal"
151,"optimal"
151,"optimal"
188,"optimal"
188,"optimal"
180,"optimal"
176,"optimal"
182,"optimal"
145,"optimal"
178,"optimal"
181,"optimal"
150,"optimal"
180,"optimal"
163,"optimal"
188,"optimal"
141,"optimal"
188,"optimal"
187,"optimal"
179,"optimal"
188,"optimal"
188,"optimal"
173,"optimal"
122,"optimal"
147,"optimal"
139,"optimal"
182,"optimal"
147,"optimal"
187,"optimal"
163,"optimal"
185,"optimal"
178,"optimal"
188,"optimal"
181,"optimal"
181,"optimal"
179,"optimal"
176,"optimal"
143,"optimal"
187,"optimal"
166,"optimal"
164,"optimal"
184,"optimal"
176,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
173,"optimal"
134,"optimal"
160,"optimal"
178,"optimal"
112,"optimal"
180,"optimal"
185,"optimal"
129,"optimal"
178,"optimal"
166,"optimal"
188,"optimal"
170,"optimal"
167,"optimal"
154,"optimal"
172,"optimal"
175,"optimal"
169,"optimal"
171,"optimal"
182,"optimal"
169,"optimal"
163,"optimal"
163,"optimal"
173,"optimal"
175,"optimal"
177,"optimal"
188,"optimal"
142,"optimal"
172,"optimal"
167,"optimal"
167,"optimal"
184,"optimal"
162,"optimal"
153,"optimal"
141,"optimal"
184,"optimal"
182,"optimal"
188,"optimal"
188,"optimal"
179,"optimal"
182,"optimal"
179,"optimal"
173,"optimal"
153,"optimal"
179,"optimal"
151,"optimal"
147,"optimal"
188,"optimal"
180,"optimal"
187,"optimal"
167,"optimal"
144,"optimal"
182,"optimal"
188,"optimal"
160,"optimal"
185,"optimal"
188,"optimal"
184,"optimal"
178,"optimal"
188,"optimal"
188,"optimal"
150,"optimal"
163,"optimal"
157,"optimal"
180,"optimal"
188,"optimal"
176,"optimal"
184,"optimal"
154,"optimal"
148,"optimal"
187,"optimal"
163,"optimal"
181,"optimal"
181,"optimal"
160,"optimal"
179,"optimal"
177,"optimal"
184,"optimal"
153,"optimal"
181,"optimal"
180,"optimal"
163,"optimal"
160,"optimal"
178,"optimal"
154,"optimal"
187,"optimal"
176,"optimal"
170,"optimal"
170,"optimal"
187,"optimal"
176,"optimal"
146,"optimal"
173,"optimal"
147,"optimal"
188,"optimal"
166,"optimal"
188,"optimal"
188,"optimal"
184,"optimal"
157,"optimal"
185,"optimal"
184,"optimal"
182,"optimal"
139,"optimal"
162,"optimal"
170,"optimal"
178,"optimal"
188,"optimal"
160,"optimal"
155,"optimal"
175,"optimal"
188,"optimal"
185,"optimal"
170,"optimal"
182,"optimal"
188,"optimal"
154,"optimal"
179,"optimal"
163,"optimal"
188,"optimal"
188,"optimal"
175,"optimal"
185,"optimal"
188,"optimal"
141,"optimal"
166,"optimal"
181,"optimal"
177,"optimal"
148,"optimal"
176,"optimal"
184,"optimal"
154,"optimal"
188,"optimal"
170,"optimal"
153,"optimal"
173,"optimal"
182,"optimal"
188,"optimal"
182,"optimal"
188,"optimal"
178,"optimal"
185,"optimal"
188,"optimal"
173,"optimal"
164,"optimal"
178,"optimal"
185,"optimal"
187,"optimal"
151,"optimal"
178,"optimal"
167,"optimal"
188,"optimal"
153,"optimal"
140,"optimal"
154,"optimal"
176,"optimal"
188,"optimal"
184,"optimal"
185,"optimal"
184,"optimal"
188,"optimal"
179,"optimal"
188,"optimal"
162,"optimal"
184,"optimal"
173,"optimal"
188,"optimal"
187,"optimal"
170,"optimal"
177,"optimal"
188,"optimal"
176,"optimal"
187,"optimal"
188,"optimal"
142,"optimal"
168,"optimal"
178,"optimal"
185,"optimal"
188,"optimal"
184,"optimal"
148,"optimal"
173,"optimal"
185,"optimal"
180,"optimal"
154,"optimal"
184,"optimal"
188,"optimal"
154,"optimal"
166,"optimal"
154,"optimal"
173,"optimal"
170,"optimal"
153,"optimal"
164,"optimal"
173,"optimal"
180,"optimal"
170,"optimal"
157,"optimal"
155,"optimal"
179,"optimal"
169,"optimal"
179,"optimal"
126,"optimal"
173,"optimal"
144,"optimal"
175,"optimal"
185,"optimal"
188,"optimal"
183,"optimal"
188,"optimal"
182,"optimal"
188,"optimal"
179,"optimal"
188,"optimal"
154,"optimal"
188,"optimal"
188,"optimal"
185,"optimal"
169,"optimal"
188,"optimal"
184,"optimal"
178,"optimal"
185,"optimal"
187,"optimal"
188,"optimal"
163,"optimal"
180,"optimal"
178,"optimal"
161,"optimal"
171,"optimal"
153,"optimal"
188,"optimal"
163,"optimal"
185,"optimal"
166,"optimal"
188,"optimal"
129,"optimal"
163,"optimal"
184,"optimal"
173,"optimal"
188,"optimal"
188,"optimal"
163,"optimal"
181,"optimal"
185,"optimal"
188,"optimal"
160,"optimal"
163,"optimal"
173,"optimal"
188,"optimal"
179,"optimal"
185,"optimal"
170,"optimal"
178,"optimal"
180,"optimal"
121,"optimal"
152,"optimal"
188,"optimal"
176,"optimal"
188,"optimal"
163,"optimal"
181,"optimal"
187,"optimal"
188,"optimal"
151,"optimal"
176,"optimal"
182,"optimal"
150,"optimal"
170,"optimal"
175,"optimal"
182,"optimal"
143,"optimal"
184,"optimal"
188,"optimal"
181,"optimal"
185,"optimal"
154,"optimal"
173,"optimal"
181,"optimal"
179,"optimal"
181,"optimal"
187,"optimal"
188,"optimal"
178,"optimal"
182,"optimal"
179,"optimal"
182,"optimal"
182,"optimal"
188,"optimal"
175,"optimal"
188,"optimal"
181,"optimal"
184,"optimal"
134,"optimal"
175,"optimal"
184,"optimal"
173,"optimal"
170,"optimal"
180,"optimal"
188,"optimal"
181,"optimal"
188,"optimal"
173,"optimal"
181,"optimal"
171,"optimal"
173,"optimal"
158,"optimal"
145,"optimal"
188,"optimal"
179,"optimal"
142,"optimal"
167,"optimal"
177,"optimal"
173,"optimal"
176,"optimal"
154,"optimal"
170,"optimal"
188,"optimal"
175,"optimal"
170,"optimal"
148,"optimal"
188,"optimal"
188,"optimal"
188,"optimal"
161,"optimal"
188,"optimal"
176,"optimal"
167,"optimal"
144,"optimal"
180,"optimal"
163,"optimal"
177,"optimal"
169,"optimal"
184,"optimal"
163,"optimal"
188,"optimal"
188,"optimal"
154,"optimal"
176,"optimal"
184,"optimal"
154,"greedy"
186,"greedy"
184,"greedy"
127,"greedy"
162,"greedy"
165,"greedy"
163,"greedy"
90,"greedy"
188,"greedy"
188,"greedy"
124,"greedy"
188,"greedy"
87,"greedy"
173,"greedy"
188,"greedy"
114,"greedy"
188,"greedy"
160,"greedy"
176,"greedy"
178,"greedy"
168,"greedy"
176,"greedy"
